ID	Plumage	PlumageColor	Species_Latin	Shape	name	value	centered_value	scaled_value	axis	Analysis
426_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.0787317	0.2990437	0.965219103381162	1	Autosomes
426_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0802991	0.4410171	0.929611728251934	2	Autosomes
426_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	-0.000234731	0.260037269	0.384339620326878	3	Autosomes
426_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	0.000535585	0.543361585	0.461601758356398	4	Autosomes
426_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	0.0026461	0.6555291	0.738114519210956	5	Autosomes
426_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	0.00235187	0.57122387	0.51192824521342	6	Autosomes
393_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC1	0.0869255	0.3072375	0.991666115270343	1	Autosomes
393_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC2	-0.220579	0.140139	0.295396387091334	2	Autosomes
393_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC3	0.00179466	0.26206666	0.387339095630685	3	Autosomes
393_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC4	0.00233303	0.54515903	0.463128741116044	4	Autosomes
393_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC5	0.000984174	0.653867174	0.736243219049828	5	Autosomes
393_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC6	0.00269327	0.57156527	0.512234206347215	6	Autosomes
370_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC1	-0.207551	0.012761	0.0411884984644285	1	Autosomes
370_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC2	-0.00481477	0.35590323	0.7502017874834	2	Autosomes
370_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC3	-0.033697	0.226575	0.334881802944802	3	Autosomes
370_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC4	-0.0200562	0.5227698	0.444108427163879	4	Autosomes
370_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC5	-0.344665	0.308218	0.347048179679838	5	Autosomes
370_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC6	-0.0332403	0.5356317	0.480030703656836	6	Autosomes
379_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC1	-0.21554	0.004772	0.0154025166266165	1	Autosomes
379_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC2	-0.00085551	0.35986249	0.758547437870197	2	Autosomes
379_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC3	0.365622	0.625894	0.925082251670899	3	Autosomes
379_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC4	0.164117	0.706943	0.60056901493643	4	Autosomes
379_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC5	-0.0326396	0.6202434	0.698383426433348	5	Autosomes
379_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC6	0.0675959	0.6364679	0.570399649408332	6	Autosomes
