ID	IDtree	Analysis_Dataset	Group	IDNumber	Species	Species_Latin	Shape	Country	Sex	MeanCoverage	MedianCoverage	Plumage	CanorusDiverged	JPlumageColor	PlumageColor	Longitude	Latitude	Source	Isolate	Sampling_Date	SRA_Biosample	SRA_Runs	Aligned_Reads_Million	Sequencing_Output_Gb	Aligned_Gb	Aligned_Gb_Percent
307_CM_BSK_RUS_F	307_CM_OUT	B	CM	307	CM	C. micropterus	4	RUS	F	10.81	9	NA	NA	#000000	#000000	130.65	42.48333	muscle	Cm-004	15-Jun-15	SAMN18559753	SRR14117631	NA	NA	NA	NA
308_CM_BSK_RUS_F	308_CM_OUT	B	CM	308	CM	C. micropterus	4	RUS	F	10.44	10	NA	NA	grey60	#000000	130.6333	42.48333	embryo	Cm-005	3-Jul-16	SAMN18559754	SRR14117630	NA	NA	NA	NA
387_CP_MBW_RUS_F	387_CP_OUT	B	CP	387	CP	C. poliocephalus	8	RUS	F	13.6	12	mixed	Outgroup	grey60	#F7F7F7	130.6667	42.51667	muscle	Cp-001	3-Jul-14	SAMN18559833	SRR14117568,SRR14117567	138.300146	20.95849	20.31268557	0.9691865
311_CO_ACW_RUS_F	311_CO_grey	B	OG	311	CO	C. optatus	24	RUS	F	9.54	9	grey	NA	#000000	#9CADB4	88.96667	62.28333	heart	Co-017.4	1-Apr-17	SAMN18559757	SRR14117625	96.90954	14.6362	14.27771115	0.975506699
317_CO_SCC_RUS_F	317_CO_grey	B	OG	317	CO	C. optatus	24	RUS	F	14.36	13	grey	NA	#000000	#9CADB4	88.96667	62.28333	growing_feather	Co-016.2	1-Apr-17	SAMN18559763	SRR14117531,SRR14117529	143.899666	21.74592	21.24018361	0.97674339
362_CO_PLW_RUS_F	362_CO_grey	B	OG	362	CO	C. optatus	24	RUS	F	13.79	12	grey	NA	#000000	#9CADB4	142.55	48.48333	muscle	3031	1-Jul-10	SAMN18559808	SRR14117609,SRR14117608	139.002458	21.02098	20.5082344	0.975607912
370_CO_PLW_RUS_F	370_CO_grey	B	OG	370	CO	C. optatus	24	RUS	F	10.26	9	grey	NA	#000000	#9CADB4	132.7667	44.75	muscle	1264	23-May-05	SAMN18559816	SRR14117716	103.012224	15.54051	15.24214217	0.980800641
376_CO_PLW_RUS_F	376_CO_grey	B	OG	376	CO	C. optatus	24	RUS	F	13.8	12	grey	NA	#000000	#9CADB4	147.2333	44.8	muscle	1802	23-Jul-04	SAMN18559822	SRR14117707,SRR14117706	142.951598	21.76868	20.93863614	0.961869812
379_CO_PLW_RUS_F	379_CO_grey	B	OG	379	CO	C. optatus	24	RUS	F	10.98	10	grey	NA	#000000	#9CADB4	141.8667	46.36667	muscle	1078	26-Jun-03	SAMN18559825	SRR14117581	117.155224	17.68048	17.28667665	0.97772666
380_CO_PLW_RUS_F	380_CO_grey	B	OG	380	CO	C. optatus	24	RUS	F	11.84	11	grey	NA	#000000	#9CADB4	141.8667	46.36667	muscle	1083	27-Jun-03	SAMN18559826	SRR14117580	129.58235	19.56815	19.0958364	0.975863145
381_CO_PLW_RUS_F	381_CO_grey	B	OG	381	CO	C. optatus	24	RUS	F	12.91	12	grey	NA	#000000	#9CADB4	143.0667	51.2	muscle	2895	29-Jun-09	SAMN18559827	SRR14117579	132.59979	20.05827	19.53751739	0.97403801
